# total_examples\t5565
# intent_examples\t5561
# non_intent_examples\t4
count\tkind\tname
20\tintent\trequest_tor_process
20\tintent\treschedule_entrance_exam
20\tintent\trotc_meaning
20\tintent\tsecond_courser_cat_application
20\tintent\tsecond_courser_requirements
20\tintent\tshorts_on_campus
20\tintent\tsignificance_year_1924_buksu
20\tintent\tsmart_buksu_vision
20\tintent\tsports_facilities_for_students
20\tintent\tstudent_assistant_application
20\tintent\tstudent_assistant_application_process
20\tintent\tstudent_id_replacement
20\tintent\ttes_release_delay
20\tintent\ttes_with_other_scholarships
20\tintent\ttest_permit_corrupted
20\tintent\ttor_request_for_graduates
20\tintent\ttransferee_admission_requirements
20\tintent\tuniversity_code_definition
20\tintent\tupdate_student_portal_information
20\tintent\twear_civilian_attire
20\tintent\twithdraw_enrollment_policy
19\tintent\tsystem_error
17\tintent\texam_requirements
16\tintent\tadditional_slots
16\tintent\tcontact_atu
16\tintent\tcontact_registrar
16\tintent\tcontact_scholarship_unit
16\tintent\tdenied_applications
16\tintent\texam_fees
16\tintent\texam_location_vs_campus
16\tintent\texam_results
16\tintent\tmain_campus_full
16\tintent\toffice_schedule
16\tintent\tonline_application_schedule
15\tintent\tabout_buksu
15\tintent\tapplication_next_step
15\tintent\tbuksu_EMC
15\tintent\tbuksu_ET
15\tintent\tbuksu_FT
15\tintent\tbuksu_IT
15\tintent\tbuksu_med_loc
15\tintent\tget_wifi_access
15\tintent\tict_mission
15\tintent\tmed_mission
15\tintent\tmed_vision
15\tintent\tmedic_clinic
15\tintent\tno_slots
15\tintent\tstatus_application
4\tintent\tbot_challenge
4\tintent\tgoodbye
3\tintent\tgreet
2\tregex\tlab_number
2\tregex\tlocation_name
